Data,Interface RMSD,BSA,Ligand RMSD,Results
1DFU,0.2275,2.7985,0.481,1
1DFU,0.31,1.609,0.782,1
1DFU,0.2225,2.3495,0.532,1
1DFU,0.425,1.931,0.765,0
1DFU,0.255,0.836,0.465,1
1RC7,0.3455,2.7285,0.747,0
1RC7,0.504,3.391,0.898,1
1YVP,0.269,1.37,0.732,1
1YVP,0.269,0.46,0.569,0
1YVP,0.273,1.815,0.647,1
1YVP,0.374,0.869,0.863,0
1YVP,0.449,1.041,0.938,0
2BH2,0.25,2.632,0.414,1
2BH2,0.3265,5.9635,0.5745,1
2BH2,0.561,4.5595,1.0855,0
2BH2,0.4765,7.408,0.82,0
2BH2,0.587,3.5035,1.4045,0
2BH2,0.4635,3.215,0.8605,0
2BH2,0.334,4.6145,0.612,1
2BH2,0.558,3.902,1.104,0
2BH2,0.3375,1.8495,0.589,1
2BH2,0.602,4.578,1.059,0
2BH2,0.491,2.604,2.218,0
2NUG,0.526,5.4,0.6875,1
2NUG,0.616,5.643,1.739,0
2NUG,0.397,1.727,0.663,1
2NUG,0.716,4.996,0.917,0
2QUX,0.48,5.434,1.1475,0
2QUX,0.209,2.1865,0.3445,1
2QUX,0.489,6.208,1.358,0
2QUX,0.611,3.109,1.294,0
2QUX,0.352,6.33,0.717,0
2QUX,0.466,0.925,1.137,0
2XDB,0.1675,2.6175,0.8555,0
2XDB,0.228,2.677,0.761,0
2XDB,0.1675,1.128,0.7735,0
2XDB,0.334,1.125,1.03,0
2XDB,0.443,6.334,0.95,0
2XDB,0.275,0.708,0.871,1
2XDB,0.221,2.44,0.67,0
2XDB,0.291,2.738,1.001,1
3FOZ,0.1765,1.287,0.7405,1
3FOZ,0.1805,2.1465,1.1855,1
3FOZ,0.2935,2.0535,1.148,1
3FOZ,0.2385,1.73,1.131,1
3FOZ,0.235,1.444,0.975,1
3FOZ,0.179,2.0895,0.9235,1
3FOZ,0.2345,2.0725,1.5175,1
3FOZ,0.454,3.248,1.3815,0
3FOZ,0.299,2.6755,0.888,1
3FOZ,0.2295,3.11,1.57,1
3FOZ,0.244,1.8675,1.85,0
3FOZ,0.242,3.4155,1.7835,1
3FOZ,0.305,3.6805,1.571,0
3FOZ,0.2805,2.3325,0.9705,1
3FOZ,0.4575,3.0935,1.472,0
3FOZ,0.4285,3.309,1.0465,0
3FOZ,0.273,4.3255,1.906,0
3FOZ,0.7145,3.2345,1.3465,0
3FOZ,0.3155,4.4365,1.7985,0
3FOZ,0.555,7.1665,3.313,0
3LRR,0.249,0.769,0.53,1
3OVB,0.235,1.9195,0.3775,1
3OVB,0.2895,3.13,0.643,1
