Data,Dissociation time,Displacement,Ligand RMSD,Interface RMSD,BSA,Results
1DFU,159.2,0.887,1.2755,0.554,-11.682,1
1DFU,51.1,4.5455,5.153,1.9965,-11.811,0
1DFU,221.8,0.772,0.994,0.375,-9.903,1
1DFU,43.7,4.9305,5.364,2.2895,-10.142,0
1DFU,47.9,4.161,5.1595,1.944,-11.2495,0
1DFU,185.25,0.6365,0.9685,0.4105,-8.8185,1
1DFU,93.5,2.292,3.057,1.341,-16.5285,1
1DFU,61.6,5.1715,5.4215,2.617,-14.977,0
1DFU,48.85,4.2265,5.422,1.9065,-12.3805,0
1DFU,84.95,2.3975,2.693,1.219,-17.668,0
1DFU,113.9,1.839,2.294,1.059,-17.617,0
1DFU,42.55,2.89,5.431,2.075,-11.305,0
1DFU,38.65,2.89,6.628,2.42,-12.491,0
1DFU,38.65,2.89,6.628,2.42,-12.491,0
1DFU,32.3,3.563,6.603,2.303,-14.135,0
1DFU,49.25,3.479,5.147,1.721,-12.29,0
1DFU,118.7,1.619,1.952,0.909,-14.551,1
1DFU,123.3,1.434,1.844,0.652,-14.017,0
1DFU,46.05,4.132,5.057,2.104,-11.251,0
1DFU,85.1,3.158,3.395,1.671,-20.085,0
1DFU,37.35,5.812,5.972,2.525,-12.236,0
1DFU,36.9,5.812,6.663,2.345,-9.809,0
1DFU,48.1,5.812,5.155,1.973,-15.991,0
1DFU,37,3.856,6.584,2.57,-10.72,0
1DFU,36.95,3.856,5.791,2.013,-15.63,0
1DFU,42.35,3.856,5.814,2.436,-13.056,0
1DFU,43.25,3.856,6.194,2.515,-12.144,0
1DFU,29.25,3.856,6.736,2.699,-8.075,0
1DFU,66.4,3.741,4.811,2.066,-18.46,0
1DFU,83.1,2.417,3.1,1.501,-19.949,0
1DFU,123.85,1.525,1.927,0.851,-17.219,0
1DFU,45.35,2.054,5.849,2.201,-12.453,0
1DFU,51.2,2.054,4.933,1.802,-15.22,0
1DFU,76.1,2.627,4.401,2.079,-17.398,0
1DFU,72.1,3.485,3.92,1.884,-18.037,0
1DFU,70.9,2.442,3.947,1.222,-13.155,0
1DFU,40.25,2.965,6.514,2.593,-11.686,0
1DFU,76.45,3.079,4.177,1.925,-16.158,0
1DFU,40.7,3.107,5.524,1.599,-13.724,0
1DFU,51.8,3.57,5.234,2.195,-13.257,0
1DFU,40.5,6.049,6.336,2.643,-11.568,0
1DFU,76.9,2.812,4.19,1.439,-15.375,0
1DFU,48.65,3.715,5.52,2.307,-13.725,0
1DFU,40.45,3.715,5.953,2.041,-11.599,0
1DFU,39.8,3.715,6.518,2.76,-11.939,0
1DFU,50.25,3.715,5.944,2.421,-12.908,0
1DFU,51.2,3.715,5.346,2.067,-17.237,0
1DFU,45.25,3.689,5.872,2.361,-13.504,0
1DFU,59.5,3.058,3.846,1.319,-13.592,0
1DFU,63.25,2.964,4.933,2.304,-16.902,0
1RC7,73.05,2.4245,2.7925,1.121,-12.8845,1
1RC7,69.85,3.046,3.8165,1.3145,-14.0205,0
1RC7,83,1.978,2.312,0.836,-10.1375,0
1RC7,55.3,3.5445,6.0535,1.745,-12.65,0
1RC7,39.25,4.0285,5.9105,1.683,-9.0215,0
1RC7,80.6,1.91,2.2045,0.7805,-6.286,0
1RC7,70.3,2.149,2.459,0.94,-9.1465,0
1RC7,69.35,2.2605,2.667,0.976,-11.3435,0
1RC7,65.95,2.59,2.9005,1.0525,-13.0235,0
1RC7,56.7,3.3595,4.877,1.305,-14.5665,0
1RC7,73.5,2.07,2.323,0.787,-8.201,0
1RC7,44.9,3.751,6.097,1.549,-7.517,0
1RC7,73.15,2.264,2.458,0.882,-11.876,0
1RC7,70.1,2.347,2.765,1.164,-14.527,0
1RC7,58.5,3.21,3.557,1.266,-13.218,0
1RC7,62.35,3.386,3.961,1.351,-14.688,0
1RC7,67.35,2.719,3.813,0.812,-11.975,0
1RC7,68.5,2.488,3.093,1.1,-12.86,0
1RC7,38.45,3.912,5.155,1.745,-7.031,0
1RC7,66.15,2.797,3.379,1.066,-13.968,0
1RC7,44.4,3.673,4.21,1.445,-7.937,0
1RC7,54.85,3.409,5.099,1.361,-12.077,0
1RC7,62.6,2.644,4.657,0.658,-9.134,0
1RC7,43.9,3.826,6.261,1.481,-9.756,0
1RC7,71.8,2.915,3.496,1.419,-15.91,0
1RC7,42.2,3.819,9.836,1.269,-6.824,0
1RC7,37.8,4.177,6.051,1.693,-8.507,0
1RC7,55.15,3.242,4.024,1.188,-11.217,0
1RC7,53.75,3.893,4.697,1.664,-9.648,0
1RC7,66.5,2.799,3.805,0.843,-9.883,0
1RC7,46.9,3.69,4.416,1.513,-9.666,0
1RC7,47.6,3.706,4.93,1.555,-9.593,0
1RC7,65.3,2.287,2.528,0.769,-10.082,0
1RC7,73.55,2.241,2.881,0.727,-10.663,0
1RC7,42.45,3.537,5.439,1.331,-7.124,0
1RC7,45.2,3.803,4.94,1.936,-7.972,0
1RC7,77.6,2.351,3.181,0.595,-8.442,0
1RC7,83.3,2.208,2.63,1.134,-16.443,1
1RC7,81.85,2.051,2.406,0.872,-12.673,0
1RC7,54.2,3.095,5.08,1.111,-7.925,0
1RC7,97.9,2.098,2.517,1.04,-15.574,1
1RC7,78.9,2.591,2.913,1.304,-14.996,0
1RC7,48.75,3.886,4.536,1.65,-11.172,0
1RC7,40.7,3.838,4.487,1.552,-7.611,0
1RC7,43.35,3.679,5.144,1.599,-8.743,0
1RC7,50.55,3.807,4.482,1.433,-9.234,0
1RC7,50.55,3.807,4.482,1.433,-9.234,0
1RC7,71.55,2.735,3.457,1.121,-13.215,0
1RC7,69.75,2.222,2.734,1.054,-8.407,1
1RC7,45.8,3.626,5.111,1.393,-9.712,0
1YVP,108.45,1.563,1.873,0.7645,-16.3245,0
1YVP,110,1.705,2.027,0.809,-12.821,0
1YVP,116.8,1.5055,1.693,0.725,-17.1905,0
1YVP,91.85,1.733,2.0855,0.8495,-15.932,0
1YVP,107.8,1.782,2.011,0.8425,-11.5095,0
1YVP,59.45,4.3195,9.3665,4.8065,-12.279,0
1YVP,48.45,4.352,6.8685,3.141,-12.509,0
1YVP,57.05,4.219,9.3665,4.9215,-11.863,0
1YVP,63.95,3.902,7.4325,2.425,-15.5595,1
1YVP,63.85,2.9715,3.447,1.1575,-10.8595,0
1YVP,66.3,3.119,10.622,2.869,-11.854,0
1YVP,69.4,3.799,4.11,1.847,-17.655,0
1YVP,50.55,4.814,15.317,6.558,-13.025,0
1YVP,46.65,4.814,12.879,3.654,-9.585,0
1YVP,54,3.839,4.259,1.657,-10.866,0
1YVP,85.3,2.074,2.405,0.861,-17.282,0
1YVP,56,5.174,15.558,6.781,-12.71,0
1YVP,98.55,2.125,2.4,1.023,-13.374,1
1YVP,64.6,3.209,3.755,1.452,-11.606,0
1YVP,43.95,5.177,11.945,4.78,-10.91,0
1YVP,33.65,5.825,5.784,2.178,-10.777,0
